EggNOG,locus_tag,old_locus_tag,COG,minPos,maxPos,Orient,gene_id,NCBI_desc,protein_id,gi_id,pfam_id,interpro_id,EC_num,unknown,COG_desc,unknown2,NOG_desc
NA,Intergenic_6_9176_9349,Intergenic_6_9176_9349,NA,9176,9349,.,Intergenic_6_9176_9349,Intergenic_6_9176_9349,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108ZDX,OG1RF_RS00045,OG1RF_10007,COG0360,9350,9652,+,rpsF,30S ribosomal protein S6,AEA92694.1,GI:327533860,PF01250,IPR014717,NA,J,Ribosomal protein S6,J,Binds together with S18 to 16S ribosomal RNA (By similarity)
NA,Intergenic_7_9653_9696,Intergenic_7_9653_9696,NA,9653,9696,.,Intergenic_7_9653_9696,Intergenic_7_9653_9696,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108UUM,OG1RF_RS00050,OG1RF_10008,COG0629,9697,10263,+,ssb,single-stranded DNA-binding protein,AEA92695.1,GI:327533861,PF00436,IPR011344,NA,L,Single-stranded DNA-binding protein,L,single-stranded DNA-binding protein
NA,Intergenic_8_10264_10288,Intergenic_8_10264_10288,NA,10264,10288,.,Intergenic_8_10264_10288,Intergenic_8_10264_10288,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105VH8,OG1RF_RS00055,OG1RF_10009,COG0238,10289,10528,+,rpsR,30S ribosomal protein S18,AEA92696.1,GI:327533862,PF01084,IPR001648,NA,J,Ribosomal protein S18,J,"Binds as a heterodimer with protein S6 to the central domain of the 16S rRNA, where it helps stabilize the platform of the 30S subunit (By similarity)"
NA,Intergenic_9_10529_10684,Intergenic_9_10529_10684,NA,10529,10684,.,Intergenic_9_10529_10684,Intergenic_9_10529_10684,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105BZR,OG1RF_RS00060,OG1RF_10010,COG3887,10685,12709,+,NA,DHH family protein,AEA92697.1,GI:327533863,"PF01368,PF02272",IPR001667,NA,T,"c-di-AMP phosphodiesterase, consists of a GGDEF-like and DHH domains",T,domain protein
ENOG4105K9Q,OG1RF_RS00065,OG1RF_10011,COG0359,12706,13167,+,rplI,50S ribosomal protein L9,AEA92698.1,GI:327533864,"PF01281,PF03948",IPR000244,NA,J,Ribosomal protein L9,J,Binds to the 23S rRNA (By similarity)
NA,Intergenic_11_13168_13424,Intergenic_11_13168_13424,NA,13168,13424,.,Intergenic_11_13168_13424,Intergenic_11_13168_13424,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CDU,OG1RF_RS00070,OG1RF_10012,COG0305,13425,14807,+,dnaB,replicative DNA helicase DnaB,AEA92699.1,GI:327533865,"PF00772,PF03796",IPR007692,3.6.1.-,L,Replicative DNA helicase,L,Replicative dna helicase
NA,Intergenic_12_14808_14921,Intergenic_12_14808_14921,NA,14808,14921,.,Intergenic_12_14808_14921,Intergenic_12_14808_14921,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C91,OG1RF_RS00075,OG1RF_10013,COG0104,14922,16337,+,purA,adenylosuccinate synthase,AEA92700.1,GI:327533866,PF00709,IPR001114,6.3.4.4,F,Adenylosuccinate synthase,F,Plays an important role in the de novo pathway of purine nucleotide biosynthesis
NA,Intergenic_13_16338_16461,Intergenic_13_16338_16461,NA,16338,16461,.,Intergenic_13_16338_16461,Intergenic_13_16338_16461,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EPR,OG1RF_RS00080,OG1RF_10014,COG1307,16462,17331,+,NA,DegV family protein,AEA92701.1,GI:327533867,PF02645,IPR003797,NA,I,Fatty acid-binding protein DegV (function unknown),S,degv family
NA,Intergenic_14_17332_17334,Intergenic_14_17332_17334,NA,17332,17334,.,Intergenic_14_17332_17334,Intergenic_14_17332_17334,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_10015,NA,17335,17496,+,NA,hypothetical protein,AEA92702.1,GI:327533868,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_15_17497_17726,Intergenic_15_17497_17726,NA,17497,17726,.,Intergenic_15_17497_17726,Intergenic_15_17497_17726,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C5H,OG1RF_RS00085,OG1RF_10016,COG0488,17727,19358,-,NA,"ABC superfamily ATP binding cassette transporter, ABC protein",AEA92703.1,GI:327533869,PF00005,IPR003439,NA,R,ATPase components of ABC transporters with duplicated ATPase domains,S,ABC transporter
NA,Intergenic_16_19359_19610,Intergenic_16_19359_19610,NA,19359,19610,.,Intergenic_16_19359_19610,Intergenic_16_19359_19610,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C1W,OG1RF_RS00090,OG1RF_10017,COG1221,19611,22496,+,levR,transcriptional regulatory protein LevR,AEA92704.1,GI:327533870,"PF00158,PF00874,PF03610",IPR002078,2.7.1.-,KT,Transcriptional regulators containing an AAA-type ATPase domain and a DNA-binding domain,T,"two component, sigma54 specific, transcriptional regulator, Fis family"
NA,Intergenic_17_22497_22698,Intergenic_17_22497_22698,NA,22497,22698,.,Intergenic_17_22497_22698,Intergenic_17_22497_22698,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108EQA,OG1RF_RS00095,OG1RF_10018,COG3444,22699,23211,+,manX,PTS family mannose/fructose/sorbose porter component IIB,AEA92705.1,GI:327533871,PF03830,IPR004720,2.7.1.-;2.7.1.69,G,"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB",G,pts system
NA,Intergenic_18_23212_23286,Intergenic_18_23212_23286,NA,23212,23286,.,Intergenic_18_23212_23286,Intergenic_18_23212_23286,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108EQA,OG1RF_RS00100,OG1RF_10019,COG3444,23287,24438,+,manX2,"PTS family mannose porter, IIAB component",AEA92706.1,GI:327533872,"PF03610,PF03830",IPR004720,2.7.1.69,G,"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIB",G,pts system
NA,Intergenic_19_24439_24472,Intergenic_19_24439_24472,NA,24439,24472,.,Intergenic_19_24439_24472,Intergenic_19_24439_24472,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105ETZ,OG1RF_RS00105,OG1RF_10020,COG3715,24473,25276,+,manY,PTS family mannose/fructose/sorbose porter component IIC,AEA92707.1,GI:327533873,PF03609,IPR004700,2.7.1.69,G,"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IIC",G,PTS System
NA,Intergenic_20_25277_25298,Intergenic_20_25277_25298,NA,25277,25298,.,Intergenic_20_25277_25298,Intergenic_20_25277_25298,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105F3R,OG1RF_RS00110,OG1RF_10021,COG3716,25299,26210,+,NA,PTS family mannose/fructose/sorbose porter component IID,AEA92708.1,GI:327533874,PF03613,IPR004704,NA,G,"Phosphotransferase system, mannose/fructose/N-acetylgalactosamine-specific component IID",G,pts system mannose fructose sorbose family iid
NA,Intergenic_21_26211_26371,Intergenic_21_26211_26371,NA,26211,26371,.,Intergenic_21_26211_26371,Intergenic_21_26211_26371,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108YQV,OG1RF_RS00115,OG1RF_10022,COG4687,26372,26749,+,NA,hypothetical protein,AEA92709.1,GI:327533875,PF06115,IPR010360,NA,S,Uncharacterized protein,S,Domain of unknown function (DUF956)
NA,Intergenic_22_26750_26996,Intergenic_22_26750_26996,NA,26750,26996,.,Intergenic_22_26750_26996,Intergenic_22_26750_26996,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG41060ZZ,OG1RF_RS00120,OG1RF_10023,NA,26997,27524,+,NA,hypothetical protein,AEA92710.1,GI:327533876,NA,NA,NA,NA,NA,S,Membrane
NA,Intergenic_23_27525_27570,Intergenic_23_27525_27570,NA,27525,27570,.,Intergenic_23_27525_27570,Intergenic_23_27525_27570,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,OG1RF_10024,NA,27571,27846,-,NA,hypothetical protein,AEA92711.1,GI:327533877,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_24_27847_27932,Intergenic_24_27847_27932,NA,27847,27932,.,Intergenic_24_27847_27932,Intergenic_24_27847_27932,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108TCI,OG1RF_RS00130,OG1RF_10025,COG1737,27933,28742,+,NA,phosphosugar-binding transcriptional regulator,AEA92712.1,GI:327533878,"PF01418,PF01380",IPR001347,NA,K,"DNA-binding transcriptional regulator, MurR/RpiR family, contains HTH and SIS domains",K,Transcriptional regulator
NA,Intergenic_25_28743_28890,Intergenic_25_28743_28890,NA,28743,28890,.,Intergenic_25_28743_28890,Intergenic_25_28743_28890,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CI1,OG1RF_RS00135,OG1RF_10026,COG1263,28891,30459,+,malX,"PTS family maltose and glucose porter, IIABC component",AEA92713.1,GI:327533879,"PF02378,PF00367",IPR011301,2.7.1.69,G,"Phosphotransferase system IIC components, glucose/maltose/N-acetylglucosamine-specific",G,PTS System
NA,Intergenic_26_30460_30473,Intergenic_26_30460_30473,NA,30460,30473,.,Intergenic_26_30460_30473,Intergenic_26_30460_30473,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C87,OG1RF_RS00140,OG1RF_10027,COG1168,30474,31688,+,malY,cystathionine beta-lyase,AEA92714.1,GI:327533880,PF00155,IPR004839,4.4.1.8,ER,Bifunctional PLP-dependent enzyme with beta-cystathionase and maltose regulon repressor activities,E,Aminotransferase class I and II
NA,Intergenic_27_31689_31712,Intergenic_27_31689_31712,NA,31689,31712,.,Intergenic_27_31689_31712,Intergenic_27_31689_31712,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105KME,OG1RF_RS00145,OG1RF_10028,COG0251,31713,32168,+,NA,endoribonuclease L-PSP,AEA92715.1,GI:327533881,PF01042,IPR006056,NA,V,"Enamine deaminase RidA, house cleaning of reactive enamine intermediates, YjgF/YER057c/UK114 family",J,endoribonuclease L-psp
NA,Intergenic_28_32169_32359,Intergenic_28_32169_32359,NA,32169,32359,.,Intergenic_28_32169_32359,Intergenic_28_32169_32359,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105FF5,OG1RF_RS00150,OG1RF_10029,COG2898,32360,34951,+,NA,hypothetical protein,AEA92716.1,GI:327533882,"PF03706,PF04329,PF04331",IPR007426,NA,S,"Lysylphosphatidylglycerol synthetase, C-terminal domain, DUF2156 family",J,Membrane
NA,Intergenic_29_34952_35492,Intergenic_29_34952_35492,NA,34952,35492,.,Intergenic_29_34952_35492,Intergenic_29_34952_35492,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00155,OG1RF_10030,NA,35493,36008,+,NA,ABC superfamily ATP binding cassette transporter permease subunit,AEA92717.1,GI:327533883,NA,NA,NA,NA,NA,NA,NA
NA,Intergenic_30_36009_36276,Intergenic_30_36009_36276,NA,36009,36276,.,Intergenic_30_36009_36276,Intergenic_30_36009_36276,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105EJV,OG1RF_RS00160,OG1RF_10031,COG4485,36277,38892,-,NA,"ABC superfamily ATP binding cassette transporter, membrane protein",AEA92718.1,GI:327533884,NA,NA,NA,S,Uncharacterized membrane protein YfhO,S,Membrane
NA,Intergenic_31_38893_39307,Intergenic_31_38893_39307,NA,38893,39307,.,Intergenic_31_38893_39307,Intergenic_31_38893_39307,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00165,OG1RF_10032,NA,39308,39457,-,NA,hypothetical protein,AEA92719.1,GI:327533885,NA,NA,NA,NA,NA,NA,NA
ENOG4105SRN,OG1RF_RS00170,OG1RF_10033,COG4283,39436,39945,-,NA,hypothetical protein,AEA92720.1,GI:327533886,PF08020,IPR012550,NA,S,Uncharacterized protein,S,Protein of unknown function (DUF1706)   
NA,Intergenic_33_39946_39952,Intergenic_33_39946_39952,NA,39946,39952,.,Intergenic_33_39946_39952,Intergenic_33_39946_39952,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107NYZ,OG1RF_RS00175,OG1RF_10034,NA,39953,40420,-,NA,hypothetical protein,AEA92721.1,GI:327533887,NA,NA,NA,NA,NA,S,Inherit from COG: glyoxalase bleomycin resistance protein dioxygenase
NA,Intergenic_34_40421_40475,Intergenic_34_40421_40475,NA,40421,40475,.,Intergenic_34_40421_40475,Intergenic_34_40421_40475,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107R2D,OG1RF_RS00180,OG1RF_10035,COG2378,40476,41432,+,NA,putative transcriptional regulator,AEA92722.1,GI:327533888,PF08279,IPR013196,NA,K,"Predicted DNA-binding transcriptional regulator YafY, contains an HTH and WYL domains",K,transcriptional regulator
NA,Intergenic_35_41433_41523,Intergenic_35_41433_41523,NA,41433,41523,.,Intergenic_35_41433_41523,Intergenic_35_41433_41523,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00185,OG1RF_10036,COG0014,41524,42777,-,proA,glutamate-5-semialdehyde dehydrogenase,AEA92723.1,GI:327533889,PF00171,IPR012134,1.2.1.41,E,Gamma-glutamyl phosphate reductase,NA,NA
ENOG4105CGT,OG1RF_RS00190,OG1RF_10037,COG0263,42764,43615,-,proB,glutamate 5-kinase,AEA92724.1,GI:327533890,PF00696,IPR005715,2.7.2.11,E,Glutamate 5-kinase,E,Catalyzes the transfer of a phosphate group to glutamate to form glutamate 5-phosphate which rapidly cyclizes to 5- oxoproline (By similarity)
NA,Intergenic_37_43616_43898,Intergenic_37_43616_43898,NA,43616,43898,.,Intergenic_37_43616_43898,Intergenic_37_43616_43898,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4107Z0P,OG1RF_RS00195,OG1RF_10038,COG0756,43899,44384,+,dut,dUTP diphosphatase,AEA92725.1,GI:327533891,PF00692,NA,3.6.1.23,FV,dUTPase,F,"This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA (By similarity)"
NA,Intergenic_38_44385_44462,Intergenic_38_44385_44462,NA,44385,44462,.,Intergenic_38_44385_44462,Intergenic_38_44385_44462,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DNJ,OG1RF_RS00200,OG1RF_10039,COG1066,44463,45833,+,radA,DNA repair protein RadA,AEA92726.1,GI:327533892,NA,IPR004504,NA,O,Predicted ATP-dependent serine protease,O,May play a role in the repair of endogenous alkylation damage (By similarity)
NA,Intergenic_39_45834_45936,Intergenic_39_45834_45936,NA,45834,45936,.,Intergenic_39_45834_45936,Intergenic_39_45834_45936,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CTP,OG1RF_RS00205,OG1RF_10040,COG4956,45937,47082,+,NA,PIN domain protein,AEA92727.1,GI:327533893,PF01850,IPR002716,NA,R,"Uncharacterized conserved protein YacL, contains PIN and TRAM domains",S,PilT protein domain protein
NA,Intergenic_40_47083_47100,Intergenic_40_47083_47100,NA,47083,47100,.,Intergenic_40_47083_47100,Intergenic_40_47083_47100,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108UH8,OG1RF_RS00210,OG1RF_10041,COG0245,47101,47574,+,ispF,"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",AEA92728.1,GI:327533894,PF02542,IPR003526,4.6.1.12,I,"2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",I,"Involved in the biosynthesis of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP), two major building blocks of isoprenoid compounds. Catalyzes the conversion of 4- diphosphocytidyl-2-C-methyl-D-erythritol 2-phosphate (CDP-ME2P) to 2-C-methyl-D-erythritol 2,4-cyclodiphosphate (ME-CPP) with a corresponding release of cytidine 5-monophosphate (CMP) (By similarity)"
NA,Intergenic_41_47575_47608,Intergenic_41_47575_47608,NA,47575,47608,.,Intergenic_41_47575_47608,Intergenic_41_47575_47608,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105C20,OG1RF_RS00215,OG1RF_10042,COG0008,47609,49084,+,gltX,glutamate--tRNA ligase,AEA92729.1,GI:327533895,PF00749,IPR004527,6.1.1.17,J,Glutamyl- or glutaminyl-tRNA synthetase,J,Catalyzes the attachment of glutamate to tRNA(Glu) in a two-step reaction glutamate is first activated by ATP to form Glu-AMP and then transferred to the acceptor end of tRNA(Glu) (By similarity)
NA,Intergenic_42_49085_49353,Intergenic_42_49085_49353,NA,49085,49353,.,Intergenic_42_49085_49353,Intergenic_42_49085_49353,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105D7W,OG1RF_RS00220,OG1RF_10043,COG1045,49354,49893,+,cysE,serine O-acetyltransferase,AEA92730.1,GI:327533896,PF00132,IPR005881,2.3.1.30,E,Serine acetyltransferase,E,serine acetyltransferase
ENOG4105C8N,OG1RF_RS00225,OG1RF_10044,COG0215,49862,51298,+,cysS,cysteine--tRNA ligase,AEA92731.1,GI:327533897,"PF01406,PF09190",IPR002308,6.1.1.16,J,Cysteinyl-tRNA synthetase,J,cysteinyl-tRNA synthetase
ENOG4105KEB,OG1RF_RS00230,OG1RF_10045,COG1939,51295,51693,+,cysS2,cysteine--tRNA ligase,AEA92732.1,GI:327533898,PF00636,IPR000999,NA,J,23S rRNA maturation mini-RNase III,S,Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc)
ENOG4105C2N,OG1RF_RS00235,OG1RF_10046,COG0566,51683,52540,+,NA,RNA methyltransferase,AEA92733.1,GI:327533899,"PF08032,PF00588",IPR004441,NA,J,tRNA G18 (ribose-2'-O)-methylase SpoU,J,RNA methyltransferase TrmH family group 3
NA,Intergenic_46_52541_52554,Intergenic_46_52541_52554,NA,52541,52554,.,Intergenic_46_52541_52554,Intergenic_46_52541_52554,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105M0M,OG1RF_RS00240,OG1RF_10047,COG3688,52555,53085,+,NA,protein of hypothetical function DUF901,AEA92734.1,GI:327533900,PF05991,IPR010298,NA,R,Predicted RNA-binding protein containing a PIN domain,J,Tetracycline resistance protein
NA,Intergenic_47_53086_53170,Intergenic_47_53086_53170,NA,53086,53170,.,Intergenic_47_53086_53170,Intergenic_47_53086_53170,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4106CPU,OG1RF_RS00245,OG1RF_10048,NA,53171,53737,+,NA,ECF family DNA directed RNA polymerase sigma subunit,AEA92735.1,GI:327533901,PF08281,IPR014284,NA,NA,NA,K,Sigma factor
NA,Intergenic_48_53738_53794,Intergenic_48_53738_53794,NA,53738,53794,.,Intergenic_48_53738_53794,Intergenic_48_53738_53794,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105W42,OG1RF_RS00250,OG1RF_10049,COG4466,53795,54097,+,veg,Veg protein,AEA92736.1,GI:327533902,PF06257,IPR009366,NA,S,Uncharacterized protein Veg,S,Veg protein
NA,Intergenic_49_54098_54277,Intergenic_49_54098_54277,NA,54098,54277,.,Intergenic_49_54098_54277,Intergenic_49_54098_54277,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,OG1RF_RS00255,OG1RF_10050,COG1947,54278,55129,+,ispE,4-diphosphocytidyl-2-C-methyl-D-erythritol kinase,AEA92737.1,GI:327533903,"PF00288,PF08544",IPR004424,2.7.1.148,I,4-diphosphocytidyl-2C-methyl-D-erythritol kinase,NA,NA
NA,Intergenic_50_55130_55295,Intergenic_50_55130_55295,NA,55130,55295,.,Intergenic_50_55130_55295,Intergenic_50_55130_55295,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DSE,OG1RF_RS00260,OG1RF_10051,COG0803,55296,56249,+,adcA,"metal ABC superfamily ATP binding cassette transporter, binding protein",AEA92738.1,GI:327533904,PF01297,IPR006127,NA,P,"ABC-type Zn uptake system ZnuABC, Zn-binding component ZnuA",P,periplasmic solute binding protein
NA,Intergenic_51_56250_56274,Intergenic_51_56250_56274,NA,56250,56274,.,Intergenic_51_56250_56274,Intergenic_51_56250_56274,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105FDK,OG1RF_RS00265,OG1RF_10052,COG1121,56275,56967,+,NA,"ABC superfamily ATP binding cassette transporter, ABC protein",AEA92739.1,GI:327533905,PF00005,IPR003593,NA,P,"ABC-type Mn2+/Zn2+ transport system, ATPase component",P,ABC transporter
NA,Intergenic_52_56968_57128,Intergenic_52_56968_57128,NA,56968,57128,.,Intergenic_52_56968_57128,Intergenic_52_56968_57128,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105FAV,OG1RF_RS00270,OG1RF_10053,COG1108,57129,57968,+,zurM,"metal cation ABC superfamily ATP binding cassette transporter, membrane protein",AEA92740.1,GI:327533906,PF00950,IPR001626,NA,P,"ABC-type Mn2+/Zn2+ transport system, permease component",P,"ABC, transporter"
NA,Intergenic_53_57969_58111,Intergenic_53_57969_58111,NA,57969,58111,.,Intergenic_53_57969_58111,Intergenic_53_57969_58111,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105DFT,OG1RF_RS00275,OG1RF_10054,COG0503,58112,58933,+,purR,purine operon repressor,AEA92741.1,GI:327533907,"PF09182,PF00156",IPR010078,NA,F,Adenine/guanine phosphoribosyltransferase or related PRPP-binding protein,K,pur operon repressor
NA,Intergenic_54_58934_59134,Intergenic_54_58934_59134,NA,58934,59134,.,Intergenic_54_58934_59134,Intergenic_54_58934_59134,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CAJ,OG1RF_RS00280,OG1RF_10055,COG1207,59135,60520,+,glmU,UDP-N-acetylglucosamine diphosphorylase,AEA92742.1,GI:327533908,"PF00483,PF00132",IPR005882,2.7.7.23,M,"Bifunctional protein GlmU, N-acetylglucosamine-1-phosphate-uridyltransferase/glucosamine-1-phosphate-acetyltransferase",M,"Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain (By similarity)"
NA,Intergenic_55_60521_60960,Intergenic_55_60521_60960,NA,60521,60960,.,Intergenic_55_60521_60960,Intergenic_55_60521_60960,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105CGH,OG1RF_RS00285,OG1RF_10056,COG0737,60961,64950,+,NA,5-nucleotidase,AEA92743.1,GI:327533909,"PF00149,PF02872",IPR006179,3.1.3.5,FV,"2',3'-cyclic-nucleotide 2'-phosphodiesterase/5'- or 3'-nucleotidase, 5'-nucleotidase family",F,5'-nucleotidase
NA,Intergenic_56_64951_65085,Intergenic_56_64951_65085,NA,64951,65085,.,Intergenic_56_64951_65085,Intergenic_56_64951_65085,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108J59,OG1RF_RS00290,OG1RF_10057,COG4166,65086,66765,+,NA,"oligopeptide ABC superfamily ATP binding cassette transporter, binding protein",AEA92744.1,GI:327533910,PF00496,IPR000914,NA,E,"ABC-type oligopeptide transport system, periplasmic component",E,"Extracellular solute-binding protein, family 5"
NA,Intergenic_57_66766_66811,Intergenic_57_66766_66811,NA,66766,66811,.,Intergenic_57_66766_66811,Intergenic_57_66766_66811,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4105VPS,OG1RF_RS00295,OG1RF_10058,NA,66812,67036,-,NA,protein of hypothetical function DUF896,AEA92745.1,GI:327533911,PF05979,IPR009242,NA,NA,NA,S,UPF0291 protein
NA,Intergenic_58_67037_67050,Intergenic_58_67037_67050,NA,67037,67050,.,Intergenic_58_67037_67050,Intergenic_58_67037_67050,NA,NA,NA,NA,NA,NA,NA,NA,NA
ENOG4108NPR,OG1RF_RS00300,OG1RF_10059,COG2141,67051,68037,-,NA,bacterial luciferase,AEA92746.1,GI:327533912,PF00296,IPR011251,NA,HR,"Flavin-dependent oxidoreductase, luciferase family (includes alkanesulfonate monooxygenase SsuD and methylene tetrahydromethanopterin reductase)",C,Luciferase family oxidoreductase
NA,Intergenic_59_68038_68198,Intergenic_59_68038_68198,NA,68038,68198,.,Intergenic_59_68038_68198,Intergenic_59_68038_68198,NA,NA,NA,NA,NA,NA,NA,NA,NA
